"hourly_wage","age","occupation","race","education","sex","hispanic","marital_status","veteran_status","union","pension","citizenship_status","hours_weekly","state","total_income","employer_type","worker_status"
13,58,"Protective Service","White","Some college, no degree","Male",0,"Single",0,"No",0,1,40,"Alabama",20896,"Private employer","Full-time"
29,57,"Architecture And Engineering","White","Bachelor's degree","Male",0,"Married",1,"No",1,1,40,"Alabama",133501,"Government employee","Full-time"
20,61,"Production","White","High school diploma or equivalent","Male",0,"Divorced",1,"No",1,1,NA,"Alabama",106087,"Private employer","Full-time"
19,33,"Transportation And Material Moving","White","Some college, no degree","Male",0,"Single",0,"No",0,1,55,"Alabama",54900,"Private employer","Full-time"
18,31,"Farming, Fishing, And Forestry","Black","Some college, no degree","Male",0,"Married",0,"No",0,1,40,"Alabama",56000,"Private employer","Full-time"
18,33,"Farming, Fishing, And Forestry","Black","Some college, no degree","Female",0,"Married",0,"No",0,1,40,"Alabama",25000,"Private employer","Full-time"
22,58,"Production","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",60000,"Private employer","Full-time"
19.5,70,"Installation, Maintenance, And Repair","White","Some college, no degree","Male",0,"Divorced",0,"No",1,1,40,"Alabama",90761,"Government employee","Part-time"
33,52,"Management, Business, Science, And Arts","White","Some college, no degree","Male",0,"Married",0,"No",1,1,40,"Alabama",68500,"Government employee","Full-time"
8.5,19,"Food Preparation And Serving","White","Some college, no degree","Female",0,"Single",0,"No",0,1,12,"Alabama",9620,"Private employer","Part-time"
15,70,"Building And Grounds Cleaning And Maintenance","White","High school diploma or equivalent","Female",0,"Separated",0,"No",0,1,5,"Alabama",32580,"Private employer","Part-time"
14,31,"Office And Administrative Support","White","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,24,"Alabama",34001,"Private employer","Part-time"
15,47,"Production","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",36000,"Private employer","Full-time"
30,55,"Computer And Mathematical","White","Some college, no degree","Male",0,"Married",0,"No",0,1,51,"Alabama",139335,"Private employer","Full-time"
55,57,"Office And Administrative Support","White","Associate's degree","Female",0,"Married",0,"No",1,1,40,"Alabama",147003,"Government employee","Part-time"
60,46,"Transportation And Material Moving","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",75000,"Private employer","Full-time"
8.35,65,"Office And Administrative Support","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,0,15,"Alabama",11986,"Private employer","Part-time"
23,27,"Production","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,NA,"Alabama",49840,"Private employer","Full-time"
14.5,47,"Production","Black","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,40,"Alabama",26400,"Private employer","Full-time"
12.5,25,"Production","Black","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,40,"Alabama",25000,"Private employer","Full-time"
15,43,"Building And Grounds Cleaning And Maintenance","White","Associate's degree","Male",0,"Single",0,"No",1,1,40,"Alabama",46800,"Government employee","Full-time"
10,57,"Building And Grounds Cleaning And Maintenance","White","High school diploma or equivalent","Female",0,"Divorced",0,"No",1,1,40,"Alabama",121000,"Private employer","Full-time"
15,24,"Office And Administrative Support","Black","Bachelor's degree","Male",0,"Single",0,"No",1,1,15,"Alabama",19500,"Government employee","Part-time"
11,25,"Production","Black","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,40,"Alabama",25000,"Private employer","Full-time"
17.5,26,"Transportation And Material Moving","Black","High school diploma or equivalent","Female",0,"Single",0,"No",1,1,40,"Alabama",40000,"Private employer","Full-time"
17.5,49,"Personal Care And Service","White","Associate's degree","Female",0,"Divorced",0,"No",0,1,30,"Alabama",21000,"Private employer","Part-time"
16,24,"Construction","White","Associate's degree","Male",0,"Single",0,"No",0,1,40,"Alabama",12003,"Private employer","Full-time"
15,25,"Sales And Related","White","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,30,"Alabama",12000,"Private employer","Part-time"
60,43,"Transportation And Material Moving","White","Associate's degree","Male",0,"Divorced",1,"Yes",1,1,40,"Alabama",89030,"Government employee","Full-time"
40,22,"Construction","White","High school diploma or equivalent","Male",0,"Single",0,"Yes",1,1,60,"Alabama",75101,"Private employer","Full-time"
25,26,"Installation, Maintenance, And Repair","White","High school diploma or equivalent","Male",0,"Single",1,"No",0,1,40,"Alabama",44950,"Private employer","Full-time"
29.5,25,"Financial Specialists","White","Bachelor's degree","Female",0,"Single",0,"No",0,1,40,"Alabama",65000,"Private employer","Full-time"
37,53,"Installation, Maintenance, And Repair","White","Bachelor's degree","Male",0,"Married",0,"Yes",1,1,60,"Alabama",60020,"Private employer","Full-time"
20,28,"Management, Business, Science, And Arts","White","Bachelor's degree","Male",0,"Single",0,"No",1,1,40,"Alabama",40304,"Private employer","Full-time"
28,35,"Installation, Maintenance, And Repair","White","Some college, no degree","Male",0,"Married",0,"No",1,1,55,"Alabama",73002,"Private employer","Full-time"
11.5,59,"Sales And Related","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,25,"Alabama",14002,"Private employer","Part-time"
18.5,54,"Construction","Black","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,40,"Alabama",56805,"Government employee","Part-time"
16,54,"Community And Social Services","Black","Associate's degree","Female",0,"Married",0,"No",1,1,37,"Alabama",30000,"Government employee","Full-time"
18,22,"Transportation And Material Moving","Black","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,40,"Alabama",35000,"Private employer","Full-time"
20,41,"Construction","Black","High school diploma or equivalent","Male",0,"Single",0,"Yes",1,1,40,"Alabama",70415,"Government employee","Full-time"
11,27,"Sales And Related","Black","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,30,"Alabama",38000,"Private employer","Part-time"
13.35,30,"Office And Administrative Support","White","Some college, no degree","Female",0,"Single",1,"No",0,1,35,"Alabama",41000,"Private employer","Full-time"
17.75,26,"Sales And Related","White","Some college, no degree","Male",0,"Single",0,"No",1,1,40,"Alabama",28800,"Private employer","Full-time"
23.35,40,"Office And Administrative Support","Black","Associate's degree","Male",0,"Married",0,"No",1,1,40,"Alabama",25190,"Private employer","Full-time"
16.52,45,"Healthcare Practitioners And Technical","Black","Some college, no degree","Female",0,"Married",1,"No",1,1,40,"Alabama",45581,"Private employer","Full-time"
22.75,49,"Production","Black","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",24000,"Private employer","Full-time"
15,48,"Production","Black","High school diploma or equivalent","Female",0,"Single",0,"No",1,1,40,"Alabama",33000,"Private employer","Full-time"
11.5,53,"Production","Black","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,40,"Alabama",30080,"Private employer","Full-time"
12,28,"Production","Black","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,40,"Alabama",25005,"Private employer","Full-time"
28.5,66,"Computer And Mathematical","White","Associate's degree","Male",0,"Married",0,"No",1,1,50,"Alabama",25017,"Private employer","Full-time"
18.9,70,"Office And Administrative Support","White","Associate's degree","Female",0,"Married",0,"No",1,1,42,"Alabama",87600,"Private employer","Full-time"
13,54,"Production","Black","High school diploma or equivalent","Female",0,"Divorced",0,"No",1,1,40,"Alabama",33400,"Private employer","Full-time"
27.24,42,"Production","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,40,"Alabama",66000,"Private employer","Full-time"
12,33,NA,"White","High school diploma or equivalent","Female",0,"Divorced",0,"No",NA,1,25,"Alabama",0,"Private employer","Part-time"
23,52,"Production","White","Bachelor's degree","Male",0,"Married",0,"No",0,1,40,"Alabama",77000,"Private employer","Full-time"
28,25,"Installation, Maintenance, And Repair","White","Bachelor's degree","Male",0,"Single",0,"No",0,1,90,"Alabama",102704,"Private employer","Full-time"
32,39,"Management, Business, Science, And Arts","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",90250,"Government employee","Full-time"
14.2,35,"Production","Black","Some college, no degree","Male",0,"Single",0,"No",0,1,40,"Alabama",42000,"Private employer","Part-time"
22,25,"Production","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,40,"Alabama",35000,"Private employer","Full-time"
24,49,NA,"Black","Associate's degree","Female",0,"Married",1,"No",NA,1,40,"Alabama",0,"Private employer","Full-time"
18,55,"Transportation And Material Moving","Black","Associate's degree","Male",0,"Married",0,"No",0,1,70,"Alabama",101100,"Private employer","Full-time"
14.5,37,"Sales And Related","Black","Some college, no degree","Female",0,"Single",0,"No",0,1,40,"Alabama",45065,"Private employer","Full-time"
14.2,47,"Production","Black","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",24000,"Private employer","Full-time"
18.5,44,"Installation, Maintenance, And Repair","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,40,"Alabama",56000,"Private employer","Full-time"
28,58,"Construction","White","Associate's degree","Male",0,"Married",0,"Yes",0,1,55,"Alabama",240505,"Private employer","Full-time"
